,Ano,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
0,2021,162.761,158.21,177.013,163.83,175.517,169.118,,,,,,,1.006.449
1,2020,184.229,192.554,155.676,51.383,56.656,122.785,162.947,173.058,198.495,205.038,214.256,232.815,1.949.892
2,2019,190.684,189.812,199.54,221.244,234.066,213.359,232.024,230.5,223.048,241.088,230.709,252.093,2.658.167
3,2018,175.448,151.635,199.867,209.961,194.913,194.95,208.402,238.511,204.503,244.394,220.927,224.557,2.468.068
4,2017,143.439,132.28,183.701,152.263,189.96,189.089,178.646,209.736,193.447,196.517,196.909,204.311,2.170.298
5,2016,149.657,142.048,173.218,157.591,162.223,166.481,174.867,178.06,154.913,154.827,173.562,199.055,1.986.502
6,2015,242.913,178.395,226.088,211.721,204.827,204.703,219.49,199.904,192.602,185.26,189.327,208.184,2.463.414
7,2014,299.189,245.666,228.517,279.541,277.608,250.416,279.502,259.161,282.254,291.051,279.476,353.246,3.325.627
8,2013,296.335,222.087,268.057,316.241,300.315,302.534,323.301,312.26,293.605,313.029,287.858,335.09,3.570.712
9,2012,252.071,234.867,283.726,244.154,273.866,340.202,351.805,404.664,277.108,326.027,296.223,343.002,3.627.715
10,2011,230.017,258.508,288.48,272.67,300.201,286.547,287.685,305.7,293.322,263.524,304.618,327.395,3.418.667
11,2010,201.186,211.164,337.119,261.726,235.47,247.272,284.763,296.352,291.235,287.407,311.231,359.354,3.324.279
12,2009,189.438,191.029,260.701,224.152,237.186,289.579,273.392,247.307,296.424,281.083,238.245,277.606,3.006.142
13,2008,205.078,190.843,220.735,247.864,229.843,242.716,272.752,230.836,253.935,224.532,166.118,183.648,2.668.900
